input_id,label,attack_1,attack_2,attack_3,attack_4,attack_5
4,5,17433440.0,17433440.0,17433440.0,17433440.0,17433440.0
6,5,17433440.0,17433440.0,17433440.0,17433440.0,17433440.0
8,7,7339360.0,7339360.0,17433440.0,7339360.0,17433440.0
11,8,14114080.0,14114080.0,14114080.0,14114080.0,14114080.0
13,4,14114080.0,17433440.0,17433440.0,17433440.0,17433440.0
