dynamic_acc,final_acc,mean_exit,threshold_exit1,threshold_exit2,threshold_exit3,threshold_exit4,exit1_rate,exit2_rate,exit3_rate,exit4_rate,exit5_rate,scale,offset
0.8830000162124634,0.890500009059906,2.8980000019073486,0.5,0.7044939934015274,0.7915,0.7915,0.07900000363588333,0.3709999918937683,0.28299999237060547,0.10700000077486038,0.1599999964237213,0.85,-0.05
0.8845000267028809,0.890500009059906,2.930000066757202,0.5,0.7144939934015274,0.8015,0.8015,0.07900000363588333,0.36399999260902405,0.27649998664855957,0.10899999737739563,0.17149999737739563,0.85,-0.04
0.8855000138282776,0.890500009059906,2.9609999656677246,0.5,0.7244939934015274,0.8115,0.8115,0.07900000363588333,0.35100001096725464,0.2784999907016754,0.11299999803304672,0.1784999966621399,0.85,-0.03
0.8855000138282776,0.890500009059906,2.9820001125335693,0.5,0.7344939934015274,0.8215,0.8215,0.07900000363588333,0.3449999988079071,0.2745000123977661,0.11800000071525574,0.1835000067949295,0.85,-0.02
0.8865000009536743,0.890500009059906,3.010499954223633,0.5,0.7444939934015274,0.8315,0.8315,0.07900000363588333,0.3395000100135803,0.2694999873638153,0.11599999666213989,0.19599999487400055,0.85,-0.01
0.8870000243186951,0.890500009059906,3.0460000038146973,0.5,0.7544939934015275,0.8415,0.8415,0.07900000363588333,0.328000009059906,0.2694999873638153,0.11500000208616257,0.2084999978542328,0.85,0.0
0.887499988079071,0.890500009059906,3.0739998817443848,0.5,0.7644939934015275,0.8515,0.8515,0.07900000363588333,0.3179999887943268,0.26649999618530273,0.12300000339746475,0.2134999930858612,0.85,0.01
0.887499988079071,0.890500009059906,3.109499931335449,0.5,0.7744939934015275,0.8615,0.8615,0.07900000363588333,0.3100000023841858,0.2590000033378601,0.1264999955892563,0.22550000250339508,0.85,0.02
0.887499988079071,0.890500009059906,3.132499933242798,0.5,0.7844939934015275,0.8715,0.8715,0.07900000363588333,0.30250000953674316,0.2565000057220459,0.13099999725818634,0.23100000619888306,0.85,0.03
0.8855000138282776,0.890500009059906,2.9679999351501465,0.5,0.7266849932074547,0.8162499999999999,0.8162499999999999,0.07900000363588333,0.3499999940395355,0.27549999952316284,0.11500000208616257,0.18050000071525574,0.875,-0.05
0.8859999775886536,0.890500009059906,2.992500066757202,0.5,0.7366849932074547,0.8262499999999999,0.8262499999999999,0.07900000363588333,0.34299999475479126,0.2720000147819519,0.1185000017285347,0.1875,0.875,-0.04
0.8865000009536743,0.890500009059906,3.0264999866485596,0.5,0.7466849932074547,0.8362499999999999,0.8362499999999999,0.07900000363588333,0.3370000123977661,0.26499998569488525,0.11649999767541885,0.20250000059604645,0.875,-0.03
0.887499988079071,0.890500009059906,3.059999942779541,0.5,0.7566849932074547,0.84625,0.84625,0.07900000363588333,0.32499998807907104,0.2644999921321869,0.11999999731779099,0.21150000393390656,0.875,-0.02
0.887499988079071,0.890500009059906,3.0905001163482666,0.5,0.7666849932074548,0.85625,0.85625,0.07900000363588333,0.3154999911785126,0.2615000009536743,0.12399999797344208,0.2199999988079071,0.875,-0.01
0.887499988079071,0.890500009059906,3.119999885559082,0.5,0.7766849932074548,0.86625,0.86625,0.07900000363588333,0.3084999918937683,0.2549999952316284,0.12849999964237213,0.2290000021457672,0.875,0.0
0.887499988079071,0.890500009059906,3.1449999809265137,0.5,0.7866849932074548,0.87625,0.87625,0.07900000363588333,0.2994999885559082,0.2535000145435333,0.13349999487400055,0.2345000058412552,0.875,0.01
0.887499988079071,0.890500009059906,3.182499885559082,0.5,0.7966849932074548,0.88625,0.88625,0.07900000363588333,0.2904999852180481,0.24500000476837158,0.14000000059604645,0.24549999833106995,0.875,0.02
