method,cap_mode,input_id,attack_index,generation,diversity
pso,query,4,2,139,2.2021734714508057
pso,query,4,2,140,2.182556390762329
pso,query,4,2,141,2.1023731231689453
pso,query,4,2,142,2.1201531887054443
pso,query,4,2,143,2.0984296798706055
pso,query,4,2,144,2.0658907890319824
pso,query,4,2,145,2.0263545513153076
pso,query,4,2,146,1.958053708076477
pso,query,4,2,147,1.9679619073867798
pso,query,4,2,148,1.9044042825698853
pso,query,4,2,149,2.009523868560791
pso,query,4,2,150,1.9061404466629028
pso,query,4,2,151,2.09918475151062
pso,query,4,2,152,2.0923779010772705
pso,query,4,2,153,2.044318914413452
pso,query,4,2,154,2.0134987831115723
pso,query,4,2,155,2.0885980129241943
pso,query,4,2,156,2.128321409225464
pso,query,4,2,157,2.107231855392456
pso,query,4,2,158,2.0304229259490967
pso,query,4,2,159,2.120332717895508
pso,query,4,2,160,2.1734800338745117
pso,query,4,2,161,2.1692545413970947
pso,query,4,2,162,1.9944682121276855
pso,query,4,2,163,1.9669275283813477
pso,query,4,2,164,2.0735275745391846
pso,query,4,2,165,2.1228740215301514
pso,query,4,2,166,1.9910614490509033
pso,query,4,2,167,1.99997878074646
pso,query,4,2,168,1.932438611984253
pso,query,4,2,169,1.9129482507705688
pso,query,4,2,170,1.9963523149490356
pso,query,4,2,171,2.0028858184814453
pso,query,4,2,172,1.862472653388977
pso,query,4,2,173,1.8245060443878174
pso,query,4,2,174,1.9264483451843262
pso,query,4,2,175,2.0433106422424316
pso,query,4,2,176,1.9143763780593872
pso,query,4,2,177,2.0430831909179688
pso,query,4,2,178,2.089139699935913
pso,query,4,2,179,2.044706106185913
pso,query,4,2,180,2.0034637451171875
pso,query,4,2,181,2.0501205921173096
pso,query,4,2,182,2.108426332473755
pso,query,4,2,183,2.044332265853882
pso,query,4,2,184,2.0631515979766846
pso,query,4,2,185,1.944502353668213
pso,query,4,2,186,2.0232317447662354
pso,query,4,2,187,1.8761330842971802
pso,query,4,2,188,1.9952435493469238
pso,query,4,2,189,1.9989477396011353
pso,query,4,2,190,1.96340012550354
pso,query,4,2,191,2.0562820434570312
pso,query,4,2,192,1.9386494159698486
pso,query,4,2,193,1.9710125923156738
pso,query,4,2,194,2.025052070617676
pso,query,4,2,195,1.9056693315505981
pso,query,4,2,196,1.875339150428772
pso,query,4,2,197,1.804612159729004
pso,query,4,2,198,1.8940050601959229
pso,query,4,2,199,1.855906367301941
pso,query,4,2,200,1.9717705249786377
pso,query,4,3,1,14.31009292602539
pso,query,4,3,2,9.442680358886719
pso,query,4,3,3,6.006096839904785
pso,query,4,3,4,5.813736915588379
pso,query,4,3,5,5.331837177276611
pso,query,4,3,6,5.859084606170654
pso,query,4,3,7,5.821491718292236
pso,query,4,3,8,5.6395039558410645
pso,query,4,3,9,5.687656402587891
pso,query,4,3,10,5.101380825042725
pso,query,4,3,11,4.983436107635498
pso,query,4,3,12,4.960309982299805
pso,query,4,3,13,5.110019207000732
pso,query,4,3,14,4.962961673736572
pso,query,4,3,15,4.910369873046875
pso,query,4,3,16,4.942569732666016
pso,query,4,3,17,4.908350944519043
pso,query,4,3,18,4.9567060470581055
pso,query,4,3,19,4.500144958496094
pso,query,4,3,20,4.608499526977539
pso,query,4,3,21,4.790410995483398
pso,query,4,3,22,4.45379638671875
pso,query,4,3,23,4.483841419219971
pso,query,4,3,24,4.365067005157471
pso,query,4,3,25,4.1591339111328125
pso,query,4,3,26,3.8446860313415527
pso,query,4,3,27,3.8301801681518555
pso,query,4,3,28,3.9905145168304443
pso,query,4,3,29,3.9285545349121094
pso,query,4,3,30,3.73106050491333
pso,query,4,3,31,3.3861026763916016
pso,query,4,3,32,3.2770276069641113
pso,query,4,3,33,3.4812588691711426
pso,query,4,3,34,3.4890873432159424
pso,query,4,3,35,3.307339906692505
pso,query,4,3,36,3.2261149883270264
pso,query,4,3,37,3.342742443084717
pso,query,4,3,38,3.198746681213379
pso,query,4,3,39,3.465179920196533
pso,query,4,3,40,3.476184844970703
pso,query,4,3,41,3.180196523666382
pso,query,4,3,42,3.37069034576416
pso,query,4,3,43,3.460192918777466
pso,query,4,3,44,3.4108729362487793
pso,query,4,3,45,3.2584707736968994
pso,query,4,3,46,3.0997514724731445
pso,query,4,3,47,3.18723726272583
pso,query,4,3,48,3.2232179641723633
pso,query,4,3,49,3.03049635887146
pso,query,4,3,50,3.022824287414551
pso,query,4,3,51,2.91755747795105
pso,query,4,3,52,3.001990556716919
pso,query,4,3,53,2.889033794403076
pso,query,4,3,54,2.803901195526123
pso,query,4,3,55,2.844865322113037
pso,query,4,3,56,2.874840497970581
pso,query,4,3,57,2.9197120666503906
pso,query,4,3,58,2.826610565185547
pso,query,4,3,59,2.796024799346924
pso,query,4,3,60,2.8526809215545654
pso,query,4,3,61,2.8051133155822754
pso,query,4,3,62,3.1881628036499023
pso,query,4,3,63,3.2912185192108154
pso,query,4,3,64,3.2691304683685303
pso,query,4,3,65,3.271411895751953
pso,query,4,3,66,3.3453078269958496
pso,query,4,3,67,3.4509196281433105
pso,query,4,3,68,3.345163345336914
pso,query,4,3,69,3.168487548828125
pso,query,4,3,70,3.1836140155792236
pso,query,4,3,71,3.310945749282837
pso,query,4,3,72,3.3160786628723145
pso,query,4,3,73,3.052793502807617
pso,query,4,3,74,2.9460113048553467
pso,query,4,3,75,3.0152194499969482
pso,query,4,3,76,3.086610794067383
pso,query,4,3,77,3.0442755222320557
pso,query,4,3,78,3.011314630508423
pso,query,4,3,79,3.0016844272613525
pso,query,4,3,80,2.9141342639923096
pso,query,4,3,81,2.811037063598633
pso,query,4,3,82,2.9473209381103516
pso,query,4,3,83,3.1581735610961914
pso,query,4,3,84,2.9768102169036865
pso,query,4,3,85,2.924504518508911
pso,query,4,3,86,3.0565788745880127
pso,query,4,3,87,3.1753287315368652
pso,query,4,3,88,3.0629472732543945
pso,query,4,3,89,2.9708807468414307
pso,query,4,3,90,2.9611668586730957
pso,query,4,3,91,2.931872844696045
pso,query,4,3,92,2.977097988128662
pso,query,4,3,93,3.0801286697387695
pso,query,4,3,94,2.9360246658325195
pso,query,4,3,95,3.0085833072662354
pso,query,4,3,96,3.138653039932251
pso,query,4,3,97,3.1226837635040283
pso,query,4,3,98,3.291613817214966
pso,query,4,3,99,3.1666512489318848
pso,query,4,3,100,3.1924097537994385
pso,query,4,3,101,3.2377512454986572
pso,query,4,3,102,3.3150722980499268
pso,query,4,3,103,3.13435959815979
pso,query,4,3,104,3.2070281505584717
pso,query,4,3,105,3.153139352798462
pso,query,4,3,106,3.1830272674560547
pso,query,4,3,107,3.190021276473999
pso,query,4,3,108,3.1242716312408447
pso,query,4,3,109,3.0782217979431152
pso,query,4,3,110,3.0070643424987793
pso,query,4,3,111,2.916425943374634
pso,query,4,3,112,2.7147819995880127
pso,query,4,3,113,2.7692136764526367
pso,query,4,3,114,2.8307626247406006
pso,query,4,3,115,2.9491376876831055
pso,query,4,3,116,2.8349030017852783
pso,query,4,3,117,2.910997152328491
pso,query,4,3,118,2.903831720352173
pso,query,4,3,119,2.9508161544799805
pso,query,4,3,120,2.906769037246704
pso,query,4,3,121,2.7420949935913086
pso,query,4,3,122,2.7294058799743652
pso,query,4,3,123,2.7654123306274414
pso,query,4,3,124,2.7932980060577393
pso,query,4,3,125,2.733492374420166
pso,query,4,3,126,2.7309975624084473
pso,query,4,3,127,2.7465460300445557
pso,query,4,3,128,2.6734838485717773
pso,query,4,3,129,2.6727867126464844
pso,query,4,3,130,2.600100040435791
pso,query,4,3,131,2.6818721294403076
pso,query,4,3,132,2.7113704681396484
pso,query,4,3,133,2.7180607318878174
pso,query,4,3,134,2.666309356689453
pso,query,4,3,135,2.764479398727417
pso,query,4,3,136,2.742826223373413
pso,query,4,3,137,2.8026914596557617
pso,query,4,3,138,2.782729148864746
pso,query,4,3,139,2.919588088989258
pso,query,4,3,140,2.695753335952759
pso,query,4,3,141,2.6535801887512207
pso,query,4,3,142,2.72609543800354
pso,query,4,3,143,2.7182114124298096
pso,query,4,3,144,2.589401960372925
pso,query,4,3,145,2.561347723007202
pso,query,4,3,146,2.5702993869781494
pso,query,4,3,147,2.6543917655944824
pso,query,4,3,148,2.5865678787231445
pso,query,4,3,149,2.5326426029205322
pso,query,4,3,150,2.5381433963775635
pso,query,4,3,151,2.644533157348633
pso,query,4,3,152,2.559844493865967
pso,query,4,3,153,2.6267576217651367
pso,query,4,3,154,2.5780203342437744
pso,query,4,3,155,2.556896448135376
pso,query,4,3,156,2.5557444095611572
pso,query,4,3,157,2.563354253768921
pso,query,4,3,158,2.8334882259368896
pso,query,4,3,159,2.7366435527801514
pso,query,4,3,160,2.6267573833465576
pso,query,4,3,161,2.6445608139038086
pso,query,4,3,162,2.737438678741455
pso,query,4,3,163,2.816650867462158
pso,query,4,3,164,2.7459704875946045
pso,query,4,3,165,2.6809098720550537
pso,query,4,3,166,2.703061580657959
pso,query,4,3,167,2.6825461387634277
pso,query,4,3,168,2.6971757411956787
pso,query,4,3,169,2.6239962577819824
pso,query,4,3,170,2.627659559249878
pso,query,4,3,171,2.5103988647460938
pso,query,4,3,172,2.664949893951416
pso,query,4,3,173,2.5998594760894775
pso,query,4,3,174,2.4680538177490234
pso,query,4,3,175,2.343794107437134
pso,query,4,3,176,2.415304660797119
pso,query,4,3,177,2.4348130226135254
pso,query,4,3,178,2.53043794631958
pso,query,4,3,179,2.4293603897094727
pso,query,4,3,180,2.309832811355591
pso,query,4,3,181,2.246586322784424
pso,query,4,3,182,2.2574870586395264
pso,query,4,3,183,2.395219564437866
pso,query,4,3,184,2.2624459266662598
pso,query,4,3,185,2.2155346870422363
pso,query,4,3,186,2.228203773498535
pso,query,4,3,187,2.254112720489502
pso,query,4,3,188,2.3476669788360596
pso,query,4,3,189,2.2861475944519043
pso,query,4,3,190,2.1664962768554688
pso,query,4,3,191,2.085512161254883
pso,query,4,3,192,2.1490325927734375
pso,query,4,3,193,2.0677266120910645
pso,query,4,3,194,2.151550531387329
pso,query,4,3,195,2.1698267459869385
pso,query,4,3,196,2.1156883239746094
pso,query,4,3,197,2.0378217697143555
pso,query,4,3,198,1.9763163328170776
pso,query,4,3,199,2.013474941253662
pso,query,4,3,200,2.0018205642700195
pso,query,4,4,1,14.386788368225098
pso,query,4,4,2,9.462178230285645
pso,query,4,4,3,6.062688827514648
pso,query,4,4,4,6.102725982666016
pso,query,4,4,5,5.325267791748047
pso,query,4,4,6,5.5965895652771
pso,query,4,4,7,5.402078151702881
pso,query,4,4,8,5.198671340942383
pso,query,4,4,9,5.356256484985352
pso,query,4,4,10,4.672135353088379
pso,query,4,4,11,4.801320552825928
pso,query,4,4,12,4.571292400360107
pso,query,4,4,13,4.485111713409424
pso,query,4,4,14,4.38922119140625
pso,query,4,4,15,4.50795316696167
pso,query,4,4,16,4.485464096069336
pso,query,4,4,17,4.307383060455322
pso,query,4,4,18,4.271029472351074
pso,query,4,4,19,4.4900407791137695
pso,query,4,4,20,4.4489336013793945
pso,query,4,4,21,4.371876239776611
pso,query,4,4,22,4.391505718231201
pso,query,4,4,23,4.490508556365967
pso,query,4,4,24,4.40580940246582
pso,query,4,4,25,4.380398273468018
pso,query,4,4,26,4.129958152770996
pso,query,4,4,27,4.362706661224365
pso,query,4,4,28,4.385964393615723
pso,query,4,4,29,4.240086555480957
pso,query,4,4,30,4.183123588562012
pso,query,4,4,31,4.076124668121338
pso,query,4,4,32,4.042713165283203
pso,query,4,4,33,3.8814728260040283
pso,query,4,4,34,3.888737440109253
pso,query,4,4,35,4.0250563621521
pso,query,4,4,36,3.7931625843048096
pso,query,4,4,37,3.7769839763641357
pso,query,4,4,38,3.7518839836120605
pso,query,4,4,39,3.702239751815796
pso,query,4,4,40,3.838848829269409
pso,query,4,4,41,3.7933778762817383
pso,query,4,4,42,3.7342562675476074
pso,query,4,4,43,3.6708149909973145
pso,query,4,4,44,3.722892999649048
pso,query,4,4,45,3.7797958850860596
pso,query,4,4,46,3.667545795440674
pso,query,4,4,47,3.605771541595459
pso,query,4,4,48,3.4497787952423096
pso,query,4,4,49,3.42372727394104
pso,query,4,4,50,3.449660301208496
pso,query,4,4,51,3.4608023166656494
pso,query,4,4,52,3.35758376121521
pso,query,4,4,53,3.2382757663726807
pso,query,4,4,54,3.3513686656951904
pso,query,4,4,55,3.3177690505981445
pso,query,4,4,56,3.2687532901763916
pso,query,4,4,57,2.932914972305298
pso,query,4,4,58,3.131009817123413
pso,query,4,4,59,3.353487968444824
pso,query,4,4,60,3.3358848094940186
pso,query,4,4,61,3.0929911136627197
pso,query,4,4,62,2.9500153064727783
pso,query,4,4,63,3.074937105178833
pso,query,4,4,64,3.1906166076660156
pso,query,4,4,65,3.085115671157837
pso,query,4,4,66,3.1150004863739014
pso,query,4,4,67,3.0926430225372314
pso,query,4,4,68,3.048882007598877
pso,query,4,4,69,2.9759163856506348
pso,query,4,4,70,2.95595645904541
pso,query,4,4,71,3.2034525871276855
pso,query,4,4,72,3.255150079727173
pso,query,4,4,73,3.2060229778289795
pso,query,4,4,74,3.220961570739746
pso,query,4,4,75,3.314755916595459
pso,query,4,4,76,3.3300395011901855
pso,query,4,4,77,3.278985023498535
pso,query,4,4,78,3.2853221893310547
pso,query,4,4,79,3.262509346008301
pso,query,4,4,80,3.3485779762268066
pso,query,4,4,81,3.279683828353882
pso,query,4,4,82,3.4111530780792236
pso,query,4,4,83,3.343357801437378
pso,query,4,4,84,3.1718616485595703
pso,query,4,4,85,3.1379430294036865
pso,query,4,4,86,3.049220323562622
